co2_value,Category
376.31,Satisfactory
376.24,Satisfactory
374.36,Satisfactory
376.07,Satisfactory
376.07,Satisfactory
374.74,Satisfactory
375.5,Satisfactory
375.29,Satisfactory
375.35,Satisfactory
375.18,Satisfactory
374.36,Satisfactory
373.99,Satisfactory
373.91,Satisfactory
375.38,Satisfactory
375.33,Satisfactory
374.93,Satisfactory
374.79,Satisfactory
374.53,Satisfactory
373.85,Satisfactory
373.99,Satisfactory
372.94,Satisfactory
373.37,Satisfactory
374.29,Satisfactory
373.93,Satisfactory
373.97,Satisfactory
374.84,Satisfactory
374.83,Satisfactory
374.77,Satisfactory
374.85,Satisfactory
374.08,Satisfactory
